zipcode,centile,superzip,rank,city,state,adultpop,households,college,income,zip_code,latitude,longitude,city,state,county
38157,99.99999,1,,Memphis,TN,17,5,100%,261.5213,501,40.922326,-72.637078,Holtsville,NY,Suffolk
60043,99.99955,1,1,Kenilworth,IL,1581,732,88.87%,261.5213,544,40.922326,-72.637078,Holtsville,NY,Suffolk
19732,99.99911,1,,Rockland,DE,46,19,84.78%,261.5213,601,18.165273,-66.722583,Adjuntas,PR,Adjuntas
77010,99.99908,1,,Houston,TX,53,19,83.02%,261.5213,602,18.393103,-67.180953,Aguada,PR,Aguada
10597,99.99901,1,,Waccabuc,NY,215,83,80.93%,261.5213,603,18.455913,-67.14578,Aguadilla,PR,Aguadilla
60022,99.99741,1,2,Glencoe,IL,5578,2492,80.67%,261.5213,604,18.49352,-67.135883,Aguadilla,PR,Aguadilla
7078,99.99359,1,3,Short Hills,NJ,8347,3692,79.23%,261.5213,605,18.465162,-67.141486,Aguadilla,PR,Aguadilla
19736,99.99129,1,,Yorklyn,DE,40,22,77.50%,261.5213,606,18.172947,-66.944111,Maricao,PR,Maricao
94027,99.98998,1,4,Atherton,CA,4756,1859,75.63%,261.5213,610,18.288685,-67.139696,Anasco,PR,Anasco
10514,99.98656,1,5,Chappaqua,NY,7648,3408,79.42%,247.8817,611,18.279531,-66.80217,Angeles,PR,Utuado
46290,99.98444,1,,Indianapolis,IN,147,60,70.75%,261.5213,612,18.450674,-66.698262,Arecibo,PR,Arecibo
33109,99.98431,1,,Miami Beach,FL,308,118,68.18%,261.5213,613,18.458093,-66.732732,Arecibo,PR,Arecibo
10503,99.98418,1,,Ardsley on Hudson,NY,108,40,96.30%,212.485,614,18.429675,-66.674506,Arecibo,PR,Arecibo
19035,99.98334,1,6,Gladwyne,PA,2962,1057,66.98%,261.5213,616,18.444792,-66.640678,Bajadero,PR,Arecibo
94028,99.98116,1,7,Portola Valley,CA,4966,1918,80.59%,237.1163,617,18.447092,-66.544255,Barceloneta,PR,Barceloneta
92067,99.97844,1,8,Rancho Santa Fe,CA,4972,2103,64.70%,261.5213,622,17.998531,-67.187318,Boqueron,PR,Cabo Rojo
13475,99.97707,1,,Van Hornesville,NY,5,2,100%,199.1972,623,18.062201,-67.149541,Cabo Rojo,PR,Cabo Rojo
33945,99.97706,1,,Pineland,FL,69,24,63.77%,261.5213,624,18.023535,-66.726156,Penuelas,PR,Penuelas
2493,99.97501,1,9,Weston,MA,7373,3035,75.10%,236.7292,627,18.477891,-66.85477,Camuy,PR,Camuy
10577,99.97255,1,10,Purchase,NY,1573,663,69.68%,244.5461,631,18.269187,-66.864993,Castaner,PR,Lares
