"","username","date","time","text","pusatkota","lokasi","longitude","latitude","cluster"
"1","@SeringanAwan ","1/8/2015","16:17","kabutasap pergi datang banjirmusiman utus nya jalan reng bengkel palangkaraya","Kalimantan Tengah","Kalimantan Tengah	 Indonesia","113.4398713","-1.384472",4
"2","@DMCDompetDhuafa ","2/6/2015","11:42","perintah kab sukabumi bantu darurat korban bencana putingbeliung","DKI Jakarta","DKI Jakarta	 Indonesia","106.8482357","-6.23296",3
"3","@noersize ","2/9/2015","1:35","hujan deras pakai banjir kasihan","Menteng","Menteng	 Indonesia","106.8421736","-6.190237",5
"4","@AdgWira ","2/9/2015","4:05","banjir taman kencana banjir cm","Cengkareng","Cengkareng	 Indonesia","106.7490441","-6.150752",5
"5","@bpbdjakbar ","2/9/2015","4:50","banjir taman kencana banjir cm",";Cengkareng",";Cengkareng","106.7490441","-6.150752",5
"6","@iway_xjapan ","2/9/2015","6:14","banjir mrendam wilayah thamrin sarinah stinggi cm bgi pngendara bmotor dhrpkan bhati banjir","Tebet","Tebet	 Indonesia","106.8568556","-6.2258419",5
"7","@TMCPoldaMetro ","2/9/2015","5:53","banjir cm jalur lambat c one jalan letjen suprapto jakarta pusat alih jalur cepat","Kebayoran Baru","Kebayoran Baru	 Indonesia","106.8079371","-6.2445845",2
"8","@TMCPoldaMetro ","2/9/2015","6:11","banjir cm jalan kapuk raya hati lintas","Kebayoran Baru","Kebayoran Baru	 Indonesia","106.8079371","-6.2445845",5
"9","@TMCPoldaMetro ","2/9/2015","6:18","banjir cm jalur lambat jalan letjen suprapto jakarta pusat alih jalur cepat","DKI Jakarta","DKI Jakarta	 Indonesia","106.8482357","-6.23296",2
"10","@yantrrri ","2/9/2015","5:54","jakarta guyur hujan henti jam malam ikut akun informasi lokasi banjir genang kini","Setia Budi","Setia Budi	 Indonesia","106.8350756","-6.2213485",1
